id	en	ja	es	de	fr	it	pt_BR	es_US	pl	zh	tr	se	en_US	ru
														
Sonic & Shahra's lines must end in '_so' & '_sh' respectively.	Retail English Translation.	Retail Japanese Translation	Aoi's Spanish Translation	A Blob, Michelle Pinkawa, Elements of Justice & Dark's German Translation	Armetz, EeveelutionsN1 & s3nkuuv's French Translation 	Luken's & LimeWeb's Italian Translation	Skyer, Tio Illuminati & AlvinGoldhart's Brazilian Portuguese Translation	kawaiikaorichan's Latin American Spanish Translation	Eveefun Polish Translation (Bartek too kinda)	Vexion's Chinese Translation	Türkmander's Turkish Translation	Johan23t's Swedish Translation	Windii's Japanese-accurate translation.	Dark Sonic's Russian Translation
														
														
secret_rings_title	Sonic and the Secret Rings	ソニックと秘密のリング	Sonic y los Anillos Secretos	Sonic und die Geheimen Ringe	Sonic and the Secret Rings 	Sonic e gli Anelli Segreti	Sonic and the Secret Rings	Sonic y los Anillos Secretos	Sonic i Sekretne Pierścienie	音速小子與秘密戒指	Sonic ve Gizli Yüzükler	Sonic och dem Hemliga Ringarna		Соник и Мировые кольца
any_button	Press Any Button		Pulsa cualquier botón	Beliebige Taste Drücken	Appuyez sur n'importe quel bouton	Premi Qualunque Tasto	Pressione qualquer botão	Presiona cualquier botón	Wciśnij dowolny przycisk	按下任意按鈕		Tryck På Valfri Knapp		Нажмите любую кнопку
														
system					système	Sistema	Sistema	Sistema	system	system	sistem			
														
load_level	Loading Mission	ミーションロードする	Cargando Misión	Mission wird geladen	Chargement de la Mission	Caricamento Missione	Carregando Missão	Cargando misión	Wczytywanie Misji	任務載入中	Görev Yükleniyor	Laddar Uppdrag		Загрузка миссии
load_probes	Loading Light Probes	光をロードする	Cargando Sondas de Luz	Lichtsonden werden geladen	Chargement des Sondes Lumineuses	Caricamento delle Sonde di Luce	Carregando Sondas de Luz	Cargando luces	Wczytywanie Próbek Światła	光探頭載入中	Işık Verileri Yükleniyor	Laddar Ljussoner		Загрузка данных освещения
														
sys_select	Select	けってい	Seleccionar	Auswählen	Accepter	Seleziona	Selecionar	Seleccionar	Wybierz	選擇	Seç	Välj		Выбрать
sys_cancel	Cancel	もどる	Atrás	Abbrechen	Retour	Cancella	Cancelar	Cancelar	Anuluj	取消	İptal	Avbryt		Отмена
sys_yes	Yes	はい	Sí	Ja	Oui	Si	Sim	Sí	Tak	是	Evet	Ja		Да
sys_no	No	いいえ	No	Nein	Non	No	Não	No	Nie	否	Hayır	Nej		Нет
sys_delete	Delete	デリート	Borrar	Löschen	Effacer	Cancella	Deletar	Borrar	Usuń	刪除	Sil	Radera		Удалить
sys_clear	Clear	クリア	Vacíar	Leeren	Vider	Libera	Limpar	Limpiar	Wyczyść	清除	Temizle	Rensa		Стереть
sys_delete_description	Are you sure you want to delete this save file?	このデータを削除します。\nよろしいですか?	¿Deseas borrar el archivo de guardado?	Bist du sicher, dass du diesen Spielstand löschen willst?	Voulez-vous vraiment supprimer cette sauvegarde ?	Sei sicuro di voler cancellare questo salvataggio?	Deseja mesmo excluir este jogo salvo?	¿Seguro(a) que quieres borrar estos datos?	Czy na pewno chcesz usunąć ten plik zapisu?	您確定要刪除此存檔資料？	Bu kayıt dosyasını silmek istediğinden emin misin?	Är du säker på att du vill radera den här sparfilen?		Вы уверены, что хотите\nудалить данное сохранение?
sys_control_mode_description	Select a control style.	コントロールスタイルを選んでください。	Selecciona el tipo de control.	Wähle einen Steuerungs-Stil aus.	Sélectionnez un style de commande	Seleziona un tipo di controllo.	Escolha um tipo de controle.	Elige un modo de control.	Wybierz styl kontrolowania.	選擇控制風格。	Bir kontrol tarzı seç.	Välj en kontrollstil.		Выберите стиль управления.
sys_control_mode_reconfig	You can always change this through the skill select menu.	いつでもスキルセレクトで変えてできる。	Puedes cambiarlo en cualquier momento desde el menu de las habilidades.	Du kannst dies zu jederzeit mittels dem Skill-Menü ändern.	Vous pouvez toujours modifier cela via le menu de sélection des compétences.	Puoi sempre cambiarlo dal menù delle abilità.	Você sempre pode alterar isso pelo menu de habilidades.	Podrás cambiarlo en el menú de selección de habilidades.	Zawsze możesz to zmienić w menu wybierania talentów.	你可以在技能選單變更此設定。	Bunu dilediğin zaman yetenek seçim menüsünden değiştirebilirsin.	Du kan alltid ändra detta via färdighetsvalsmenyn.		Вы всегда можете изменить его\nчерез меню выбора навыка.
sys_retail_control	Retail	オリジナル	Original	Original		Originale	Original	Original	Wersja Pudełkowa	原版	Orjinal			Оригинал
